"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - coincide a cualquier; 'xyz*' - coincide a cualquiera que comienza por 'xyz' y no sea más larga que %1."
"'%1' file extension is not supported","no se admite la extensión de archivo '%1'"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido."
"'%value%' does not look like a valid local network name.","'%value%' no parece ser un nombre válido de red local."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' como un nombre de host DNS pero no se puede extraer parte TLD."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' parece ser un nombre de host DNS, pero contiene un guión en una posición no válida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' parece ser un nombre de host DNS, pero no podemos coincidir con el esquema de nombre de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' parece ser un nombre de host DNS, pero no podemos igualar el TLD contra lista conocida."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se ve como un nombre de red local, que no es un formato aceptable."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' se parece a una dirección IP, que no es un formato aceptable."
"’Internal Promotions’ for promotions field “Label”.","'Promoción interna' para las promociones del campo ""Etiqueta""."
"""%1"" cannot contain more than %2 lines.","""%1"" no puede contener más de %2 líneas."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caracteres no alfabéticos."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caracteres que no son números ni letras."
"""%1"" contains non-numeric characters.","""%1"" contiene caracteres no numéricos."
"""%1"" coupon code is not valid.","El código de cupón ""%1"" no es válido."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","El código de cupón ""%1"" no se aplicó. No aplicar descuento es seleccionado para los artículos"
"""%1"" does not fit the entered date format.","""%1"" no se ajusta al formato de fecha introducido."
"""%1"" exceeds the allowed file size.","""%1"" supera el tamaño de archivo permitido."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede el valor permitido de %2 px."
"""%1"" invalid type entered.","""%1"" tipo introducido inválido."
"""%1"" is a required value.","""%1"" es un valor necesario."
"""%1"" is already present in %2.","""%1"" ya está presente en %2."
"""%1"" is an empty string.","""%1"" es una cadena vacía."
"""%1"" is longer than allowed.","""%1"" es más de lo permitido."
"""%1"" is not a valid date.","""%1"" no es una fecha válida."
"""%1"" is not a valid email address.","""%1"" no es una dirección válida de email."
"""%1"" is not a valid file extension.","""%1"" no es una extensión de archivo válida."
